text,label
"Evaluate this requirement: ""The system shall refresh the display every 60 seconds"" against R1: Need and requirement statements must conform to one of the agreed patterns, thus resulting in a well-structured complete statement.",1
"Evaluate this requirement: ""The system shall refresh the display every 60 seconds"" against R6: When stating quantities, all numbers should have appropriate and consistent units of measure explicitly stated using a common measurement system in terms of the thing the number refers.",1
"Evaluate this requirement: ""The system shall refresh the display every 60 seconds"" against R11: Use a separate clause for each condition or qualification.",1
"Evaluate this requirement: ""The system shall refresh the display every 60 seconds"" against R12: Use correct grammar.",1
"Evaluate this requirement: ""The system shall refresh the display every 60 seconds"" against R14: Use correct punctuation.",1
"Evaluate this requirement: ""The system shall refresh the display every 60 seconds"" against R16: Avoid the use of 'not'.",1
"Evaluate this requirement: ""The system shall refresh the display every 60 seconds"" against R26: Avoid using unachievable absolutes such as 100% reliability, 100% availability, all, every, always, never, etc.",1
"Evaluate this requirement: ""The system shall refresh the display every 60 seconds"" against R27: State conditions’ applicability explicitly instead of leaving applicability to be inferred from the context.",1
"Evaluate this requirement: ""The system shall refresh the display every 60 seconds"" against R32: Use 'each' instead of 'all', 'any', or 'both' when universal quantification is intended.",1
"Evaluate this requirement: ""The system shall refresh the display every 60 seconds"" against R33: Define each quantity with a range of values appropriate to the entity to which the quantity applies and against which the entity will be verified or validated.",1
"Evaluate this requirement: ""The system shall refresh the display every 60 seconds"" against R36: Ensure each term and unit of measure used throughout need and requirement sets as well as associated models and other SE artefacts developed across the lifecycle are consistent with the project’s defined ontology.",1
"Evaluate this requirement: ""The application shall match the color of the schema set forth by Department of Homeland Security"" against R1: Need and requirement statements must conform to one of the agreed patterns, thus resulting in a well-structured complete statement.",1
"Evaluate this requirement: ""The application shall match the color of the schema set forth by Department of Homeland Security"" against R6: When stating quantities, all numbers should have appropriate and consistent units of measure explicitly stated using a common measurement system in terms of the thing the number refers.",1
"Evaluate this requirement: ""The application shall match the color of the schema set forth by Department of Homeland Security"" against R11: Use a separate clause for each condition or qualification.",1
"Evaluate this requirement: ""The application shall match the color of the schema set forth by Department of Homeland Security"" against R12: Use correct grammar.",1
"Evaluate this requirement: ""The application shall match the color of the schema set forth by Department of Homeland Security"" against R14: Use correct punctuation.",1
"Evaluate this requirement: ""The application shall match the color of the schema set forth by Department of Homeland Security"" against R16: Avoid the use of 'not'.",1
"Evaluate this requirement: ""The application shall match the color of the schema set forth by Department of Homeland Security"" against R26: Avoid using unachievable absolutes such as 100% reliability, 100% availability, all, every, always, never, etc.",1
"Evaluate this requirement: ""The application shall match the color of the schema set forth by Department of Homeland Security"" against R27: State conditions’ applicability explicitly instead of leaving applicability to be inferred from the context.",1
"Evaluate this requirement: ""The application shall match the color of the schema set forth by Department of Homeland Security"" against R32: Use 'each' instead of 'all', 'any', or 'both' when universal quantification is intended.",1
"Evaluate this requirement: ""The application shall match the color of the schema set forth by Department of Homeland Security"" against R33: Define each quantity with a range of values appropriate to the entity to which the quantity applies and against which the entity will be verified or validated.",1
"Evaluate this requirement: ""The application shall match the color of the schema set forth by Department of Homeland Security"" against R36: Ensure each term and unit of measure used throughout need and requirement sets as well as associated models and other SE artefacts developed across the lifecycle are consistent with the project’s defined ontology.",1
"Evaluate this requirement: ""If projected the data must be readable. On a 10x10 projection screen 90% of viewers must be able to read Event / Activity data from a viewing distance of 30"" against R1: Need and requirement statements must conform to one of the agreed patterns, thus resulting in a well-structured complete statement.",0
"Evaluate this requirement: ""If projected the data must be readable. On a 10x10 projection screen 90% of viewers must be able to read Event / Activity data from a viewing distance of 30"" against R6: When stating quantities, all numbers should have appropriate and consistent units of measure explicitly stated using a common measurement system in terms of the thing the number refers.",0
"Evaluate this requirement: ""If projected the data must be readable. On a 10x10 projection screen 90% of viewers must be able to read Event / Activity data from a viewing distance of 30"" against R11: Use a separate clause for each condition or qualification.",1
"Evaluate this requirement: ""If projected the data must be readable. On a 10x10 projection screen 90% of viewers must be able to read Event / Activity data from a viewing distance of 30"" against R12: Use correct grammar.",0
"Evaluate this requirement: ""If projected the data must be readable. On a 10x10 projection screen 90% of viewers must be able to read Event / Activity data from a viewing distance of 30"" against R14: Use correct punctuation.",0
"Evaluate this requirement: ""If projected the data must be readable. On a 10x10 projection screen 90% of viewers must be able to read Event / Activity data from a viewing distance of 30"" against R16: Avoid the use of 'not'.",1
"Evaluate this requirement: ""If projected the data must be readable. On a 10x10 projection screen 90% of viewers must be able to read Event / Activity data from a viewing distance of 30"" against R26: Avoid using unachievable absolutes such as 100% reliability, 100% availability, all, every, always, never, etc.",1
"Evaluate this requirement: ""If projected the data must be readable. On a 10x10 projection screen 90% of viewers must be able to read Event / Activity data from a viewing distance of 30"" against R27: State conditions’ applicability explicitly instead of leaving applicability to be inferred from the context.",1
"Evaluate this requirement: ""If projected the data must be readable. On a 10x10 projection screen 90% of viewers must be able to read Event / Activity data from a viewing distance of 30"" against R32: Use 'each' instead of 'all', 'any', or 'both' when universal quantification is intended.",1
"Evaluate this requirement: ""If projected the data must be readable. On a 10x10 projection screen 90% of viewers must be able to read Event / Activity data from a viewing distance of 30"" against R33: Define each quantity with a range of values appropriate to the entity to which the quantity applies and against which the entity will be verified or validated.",1
"Evaluate this requirement: ""If projected the data must be readable. On a 10x10 projection screen 90% of viewers must be able to read Event / Activity data from a viewing distance of 30"" against R36: Ensure each term and unit of measure used throughout need and requirement sets as well as associated models and other SE artefacts developed across the lifecycle are consistent with the project’s defined ontology.",1
"Evaluate this requirement: ""The product shall be available during normal business hours. As long as the user has access to the client PC the system will be available 99% of the time during the first six months of operation."" against R1: Need and requirement statements must conform to one of the agreed patterns, thus resulting in a well-structured complete statement.",0
"Evaluate this requirement: ""The product shall be available during normal business hours. As long as the user has access to the client PC the system will be available 99% of the time during the first six months of operation."" against R6: When stating quantities, all numbers should have appropriate and consistent units of measure explicitly stated using a common measurement system in terms of the thing the number refers.",1
"Evaluate this requirement: ""The product shall be available during normal business hours. As long as the user has access to the client PC the system will be available 99% of the time during the first six months of operation."" against R11: Use a separate clause for each condition or qualification.",0
"Evaluate this requirement: ""The product shall be available during normal business hours. As long as the user has access to the client PC the system will be available 99% of the time during the first six months of operation."" against R12: Use correct grammar.",0
"Evaluate this requirement: ""The product shall be available during normal business hours. As long as the user has access to the client PC the system will be available 99% of the time during the first six months of operation."" against R14: Use correct punctuation.",0
"Evaluate this requirement: ""The product shall be available during normal business hours. As long as the user has access to the client PC the system will be available 99% of the time during the first six months of operation."" against R16: Avoid the use of 'not'.",1
"Evaluate this requirement: ""The product shall be available during normal business hours. As long as the user has access to the client PC the system will be available 99% of the time during the first six months of operation."" against R26: Avoid using unachievable absolutes such as 100% reliability, 100% availability, all, every, always, never, etc.",1
